RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
,Trae Young,Atl,G,21.9,60,35.3,73.6,34.9,16.2,559,0.86,681,0.501,568,0.361,0.519,0.595,29.6,4.2,6.4,9.3,45.6,1.08,0.13,4.8,11.9,113.9,115.2
,Jordan Clarkson,Uta,G,28.19,42,24.7,51.5,26.7,9.1,79,0.785,288,0.545,254,0.366,0.547,0.568,15.6,2.8,6.3,1.6,10.8,0.69,0.19,1.38,6.7,108.3,106.4
,Goran Dragic,Mia,G,34.28,59,28.2,58.7,25.9,14.8,246,0.776,386,0.505,338,0.367,0.526,0.573,16.2,3.2,6.3,5.1,29.2,0.68,0.17,2.46,9.1,110.3,106.6
,Marcus Smart,Bos,G,26.44,60,32.0,66.6,18.9,12.2,152,0.836,287,0.415,395,0.347,0.476,0.518,12.9,3.8,6.3,4.9,21.1,1.67,0.48,1.73,7.8,109.4,102.6
,Grayson Allen,Mem,G,24.85,38,18.9,39.4,17.6,10.9,45,0.867,110,0.545,141,0.404,0.58,0.609,8.7,2.2,6.2,1.4,10.0,0.32,0.05,0.87,6.3,113.6,108.9
,J.J. Barea,Dal,G,36.13,29,15.5,32.3,24.2,14.9,22,0.909,122,0.434,85,0.376,0.488,0.512,7.7,1.8,6.2,3.9,37.1,0.17,0.07,1.31,9.8,108.6,110.7
,Wayne Ellington,Nyk,G,32.71,36,15.5,32.3,15.0,9.1,13,0.846,31,0.355,143,0.35,0.494,0.509,5.1,1.8,6.2,1.2,11.0,0.36,0.11,0.5,5.7,105.6,110.3
,D'Angelo Russell,Gol,G,24.47,33,32.1,66.9,32.2,12.6,144,0.785,314,0.487,321,0.374,0.524,0.558,23.6,3.7,6.2,6.2,35.9,0.91,0.27,3.06,10.2,106.7,112.3
,Paul Watson,Atl,G,25.63,2,8.8,18.2,16.6,0.0,0,0.0,4,0.0,3,0.0,0.0,0.0,0.0,1.0,6.2,1.5,20.5,0.5,0.0,0.0,0.0,27.4,112.6
,Mike Conley,Uta,G,32.84,47,29.0,60.4,23.1,12.8,139,0.827,311,0.437,256,0.375,0.494,0.537,14.4,3.2,6.1,4.4,23.1,0.79,0.11,1.96,8.1,109.2,106.0
,Reggie Jackson,Det,G,30.33,14,27.2,56.7,27.0,9.8,33,0.788,116,0.388,82,0.378,0.462,0.492,14.9,2.9,6.1,5.1,30.8,0.57,0.07,1.64,8.9,106.0,112.5
,CJ McCollum,Por,G,28.9,70,36.5,76.1,25.9,8.1,185,0.757,844,0.494,512,0.379,0.522,0.541,22.2,4.3,6.1,4.4,19.1,0.77,0.6,1.81,8.2,110.8,113.1
,Mychal Mulder,Gol,G,26.18,7,29.1,60.6,16.2,6.5,12,0.75,15,0.667,52,0.308,0.507,0.533,11.0,3.3,6.1,1.1,5.9,0.29,0.14,0.71,4.7,104.9,109.5
